PR_Number,PR_Title,Comment,Sentiment,Score,Model
1653,feat: download ffmpeg,,NEU,0.0,bert_sst2
1651,fix: app_name window_name fetch from frame instead of ocr_text,,NEU,0.0,bert_sst2
1647,feat: bring mcp server to lime-light,,NEU,0.0,bert_sst2
1645,Add ai preset to pipes,,NEU,0.0,bert_sst2
1643,[linux] bundle tesseract and ffmpeg,,NEU,0.0,bert_sst2
1641,fix: ship with ffmpeg,,NEU,0.0,bert_sst2
1636,setup tests for Tauri app,,NEU,0.0,bert_sst2
1634,feat: make disconnected devices list live duration of program,,NEU,0.0,bert_sst2
1629,test,,NEU,0.0,bert_sst2
1625,custom port for mcp server,,NEU,0.0,bert_sst2
1624,fix: disk usage,,NEU,0.0,bert_sst2
1623,restore: confitmation dialog of resetting pipe,,NEU,0.0,bert_sst2
1622,fix: screenpipe cli not working on windows 10 11,,NEU,0.0,bert_sst2
1621,fix: native look on windows,,NEU,0.0,bert_sst2
1616,fix: `test-linux` now work on github codespaces,,NEU,0.0,bert_sst2
1615,also capture windows having no pid,,NEU,0.0,bert_sst2
1614,fix: search filter generator not working,,NEU,0.0,bert_sst2
1613,feat: tray icon for light and dark mode,,NEU,0.0,bert_sst2
1612,fix linux build,,NEU,0.0,bert_sst2
1609,fix: search pipe ai not working,,NEU,0.0,bert_sst2
1604,fix pipe store issues,,NEU,0.0,bert_sst2
1598,improve pipe update functionality and ux,,NEU,0.0,bert_sst2
1597,Add vcredist setup to CONTRIBUTING.md,,NEU,0.0,bert_sst2
1596,fix build And windows integration test,,NEU,0.0,bert_sst2
1595,Example pipe logs,,NEU,0.0,bert_sst2
1592,make screenpipe run on Windows 10,,NEU,0.0,bert_sst2
1591,make sure user know that ffmpeg is being downloaded and do not re-install bun,,NEU,0.0,bert_sst2
1588,rust fix,,NEU,0.0,bert_sst2
1585,fix windows build,,NEU,0.0,bert_sst2
1584,fix linux build,,NEU,0.0,bert_sst2
1581,add settings preset components to registry,,NEU,0.0,bert_sst2
1580,fix: settings preset component,,NEU,0.0,bert_sst2
1577,Devcontainer to speed up linux development of screenpipe,,NEU,0.0,bert_sst2
1573,make released cli work on ubuntu 22,,NEU,0.0,bert_sst2
1572,cli version bumped,,NEU,0.0,bert_sst2
1571,fix  linux integration test,,NEU,0.0,bert_sst2
1568,chore: bump xcap,,NEU,0.0,bert_sst2
