PR_Number,PR_Title,Comment,Sentiment,Score
1808,fix: arbitrary file access during archive extraction zipslip on index,"## 💎 $10 bounty [• Orange](https://algora.io/orangecurl)
### Steps to solve:
1. **Start working**: Comment `/attempt #1808` with your implementation plan
2. **Submit work**: Create a pull request including `/claim #1808` in the PR body to claim the bounty
3. **Receive payment**: 100% of the bounty is received 2-5 days post-reward. [Make sure you are eligible for payouts](https://algora.io/docs/payments#supported-countries-regions)

### ❗ Important guidelines:
- To claim a bounty, you need to **provide a short demo video** of your changes in your pull request
- If anything is unclear, **ask for clarification** before starting as this will help avoid potential rework
- Low quality AI PRs will not receive review and will be closed
- Do not ask to be assigned unless you've contributed before

Thank you for contributing to mediar-ai/screenpipe!",positive,0.5945068001747131
1808,fix: arbitrary file access during archive extraction zipslip on index,/claim #1808,positive,0.4409373998641968
1808,fix: arbitrary file access during archive extraction zipslip on index,/attempt #1808,positive,0.3908828794956207
1805,rewind desktop app,"
## 🧪 testing bounty created!

a testing bounty has been created for this PR: [view testing issue](https://github.com/mediar-ai/screenpipe/issues/1806)

testers will be awarded $20 each for providing quality test reports. please check the issue for testing requirements.
",positive,0.49393293261528015
1805,rewind desktop app,how can i test it?,negative,0.3723335564136505
1805,rewind desktop app,issue was happening randomly. the settings were not loaded from file. so it was showing default settings. to test try reloading page or relaunching app again again. if you see the settings in app are reset(don't change anything in settings). check the settings file. settings will still be there,neutral,0.4336918890476227
1805,rewind desktop app,"@louis030195  Will the app be completely standalone, or will it share data with screenpipe-app? For example, if I have both screenpipe-app and rewind-app running on my PC, will the recording, resource and data be shared between them, or will they operate independently?",negative,0.4559401273727417
1805,rewind desktop app,"Hey, is testing still required? i can help",positive,0.5313838124275208
1805,rewind desktop app,"> @louis030195 Will the app be completely standalone, or will it share data with screenpipe-app? For example, if I have both screenpipe-app and rewind-app running on my PC, will the recording, resource and data be shared between them, or will they operate independently?

hmm

i think it would make sense to be shared 

tricky part is to check to avoid conflict, having two times the recorder in parallel 

",negative,0.5096334218978882
1805,rewind desktop app,"> Hey, is testing still required? i can help

later probably yes ",positive,0.4395449459552765
1805,rewind desktop app,"also wdyt of making this in the same folder than the existing tauri app, but during build time it would enable / disable specific feature in rust side / js side / show different UI?

been considering this path too 

and in CI/cd it would build 2 apps 

one advantage is to keep the same code for rewind and stuff, not sure easier to maintain?

",negative,0.5251045823097229
1805,rewind desktop app,"it could get more complex and code will be messy since we mixing two apps, also there is risk of breaking one app  while working on another.",negative,0.679607629776001
1805,rewind desktop app,"<img width=""1512"" alt=""Screenshot 2025-06-18 at 6 10 24 PM"" src=""https://github.com/user-attachments/assets/fcc84007-aff9-4010-9b01-849c7dc487a7"" />
<img width=""1512"" alt=""Screenshot 2025-06-18 at 6 10 20 PM"" src=""https://github.com/user-attachments/assets/381e05b0-5ecf-4811-9c8d-c619a1741102"" />


somehow super zoomed in ",positive,0.5451092720031738
1805,rewind desktop app,"there are a few issues in the onboarding but i think its same one known in screenpipe such as:
- most permissions randomly pop up at wrong timing (macos)
- screen stream does not show up 
- still facing issues with AI presets but idk
- shortcuts show ""Super"" which is weird on Mac (should be cmd)


overall its really great job, would love to ship this to all - also it's rly cool it can use the existing screenpipe data",positive,0.6546621918678284
1805,rewind desktop app,"<img width=""1512"" alt=""Screenshot 2025-06-19 at 4 48 44 PM"" src=""https://github.com/user-attachments/assets/67c00d29-382d-4933-ab9e-bf6f7e82f189"" />

not sure what changed, build crash for me now (when i open the app built with `bun tauri build`), maybe the window change ",negative,0.5459598302841187
1805,rewind desktop app,@louis030195 anything more to add to this pr? also could check if prev issues are fixed?,negative,0.4072166681289673
1805,rewind desktop app,"testing 

for anyone wanting to install this app right now:

do this or paste in cursor chat to do it for you:

```bash
gh pr checkout 1805
cargo build --release
cd openrewind
bun i
bun tauri build
# open the end build .dmg path
```",positive,0.3829008936882019
1805,rewind desktop app,"still crashing for me at start

since around [196d53e](https://github.com/mediar-ai/screenpipe/pull/1805/commits/196d53ec305ee7e4acb1f772489e1f503168bff1)",positive,0.43133312463760376
1805,rewind desktop app,"could try deleting existing app (settings,etc) and install the new one?
",negative,0.37070712447166443
1803,tabs,"
## 🧪 testing bounty created!

a testing bounty has been created for this PR: [view testing issue](https://github.com/mediar-ai/screenpipe/issues/1804)

testers will be awarded $20 each for providing quality test reports. please check the issue for testing requirements.
",positive,0.49687808752059937
1800,Added git-ls as a dependency in CONTRIBUTING.md,"
## 🧪 testing bounty created!

a testing bounty has been created for this PR: [view testing issue](https://github.com/mediar-ai/screenpipe/issues/1801)

testers will be awarded $20 each for providing quality test reports. please check the issue for testing requirements.
",positive,0.5033864974975586
1800,Added git-ls as a dependency in CONTRIBUTING.md,"I was setting up a local dev environment on macOS using the `CONTRIBUTING.md` when I found this PR.

**What is `git-ls`? Should it be `git-lfs`**?

```sh
> brew install git-ls
Warning: No available formula with the name ""git-ls"". Did you mean git-lfs, git-plus, git-ssh, g-ls, gitql or git-if?
```
",negative,0.728416383266449
1797,fix audio device randomly stopping sometimes,"
## 🧪 testing bounty created!

a testing bounty has been created for this PR: [view testing issue](https://github.com/mediar-ai/screenpipe/issues/1798)

testers will be awarded $20 each for providing quality test reports. please check the issue for testing requirements.
",positive,0.4888194501399994
1797,fix audio device randomly stopping sometimes,how did you reproduce it? @Anmol202005 ,positive,0.3872995674610138
1797,fix audio device randomly stopping sometimes,"i had high hope for this PR :D but ...

<img width=""1512"" alt=""Screenshot 2025-05-22 at 7 36 06 PM"" src=""https://github.com/user-attachments/assets/84c904fc-49fb-4777-b5b0-5bf3dfec00ea"" />
<img width=""1512"" alt=""Screenshot 2025-05-22 at 7 37 03 PM"" src=""https://github.com/user-attachments/assets/5702f61d-52ca-4829-9cad-ef3216eddde7"" />

<img width=""1512"" alt=""Screenshot 2025-05-22 at 7 35 13 PM"" src=""https://github.com/user-attachments/assets/5a0824f4-c621-4af5-a8c3-5afcb1c14745"" />



interesting here ... i was in a store and walking around with mac open then went to toilet closed the lid then it crashed (display audio seems)

but mic stopped working also then without error i think",positive,0.5522668957710266
1797,fix audio device randomly stopping sometimes,"> interesting here ... i was in a store and walking around with mac open then went to toilet closed the lid then it crashed (display audio seems)
> 
> but mic stopped working also then without error i think

@louis030195 
macOS can suspend audio when the system sleeps.
",negative,0.44242939352989197
1797,fix audio device randomly stopping sometimes,"> > interesting here ... i was in a store and walking around with mac open then went to toilet closed the lid then it crashed (display audio seems)
> > but mic stopped working also then without error i think
> 
> @louis030195 macOS can suspend audio when the system sleeps.

so what's your solution?",negative,0.518559992313385
1797,fix audio device randomly stopping sometimes,"> > > interesting here ... i was in a store and walking around with mac open then went to toilet closed the lid then it crashed (display audio seems)
> > > but mic stopped working also then without error i think
> > 
> > @louis030195 macOS can suspend audio when the system sleeps.
> 
> so what's your solution?

You closed the wrong lid. 😳",negative,0.5934826731681824
1795,make pipe manager optional,"
## 🧪 testing bounty created!

a testing bounty has been created for this PR: [view testing issue](https://github.com/mediar-ai/screenpipe/issues/1796)

testers will be awarded $20 each for providing quality test reports. please check the issue for testing requirements.
",positive,0.4970739483833313
1790,Fix: Fix getting app icons on Linux,"
## 🧪 testing bounty created!

a testing bounty has been created for this PR: [view testing issue](https://github.com/mediar-ai/screenpipe/issues/1791)

testers will be awarded $20 each for providing quality test reports. please check the issue for testing requirements.
",positive,0.5013130903244019
1788,fix: ignore minimized windows during capture,"
## 🧪 testing bounty created!

a testing bounty has been created for this PR: [view testing issue](https://github.com/mediar-ai/screenpipe/issues/1789)

testers will be awarded $20 each for providing quality test reports. please check the issue for testing requirements.
",positive,0.49700769782066345
1788,fix: ignore minimized windows during capture,thx,positive,0.4340766668319702
1786,fix: Stop pipes before stopping screenpipe sidecar,"
## 🧪 testing bounty created!

a testing bounty has been created for this PR: [view testing issue](https://github.com/mediar-ai/screenpipe/issues/1787)

testers will be awarded $20 each for providing quality test reports. please check the issue for testing requirements.
",positive,0.4960624873638153
1784,fix: force reload user data before pipe purchases to prevent stale cr…,"
## 🧪 testing bounty created!

a testing bounty has been created for this PR: [view testing issue](https://github.com/mediar-ai/screenpipe/issues/1785)

testers will be awarded $20 each for providing quality test reports. please check the issue for testing requirements.
",positive,0.5014021396636963
1784,fix: force reload user data before pipe purchases to prevent stale cr…,@louis030195 I found the issue and implemented the fix Please review the PR and let me know if changes are required.,positive,0.3750418722629547
1780,fix model download ux,"
## 🧪 testing bounty created!

a testing bounty has been created for this PR: [view testing issue](https://github.com/mediar-ai/screenpipe/issues/1781)

testers will be awarded $20 each for providing quality test reports. please check the issue for testing requirements.
",positive,0.4953955411911011
1780,fix model download ux,/approve ,positive,0.7245872616767883
1773,Update README.md with a greeting,"
## 🧪 testing bounty created!

a testing bounty has been created for this PR: [view testing issue](https://github.com/mediar-ai/screenpipe/issues/1774)

testers will be awarded $20 each for providing quality test reports. please check the issue for testing requirements.
",positive,0.4909708499908447
1773,Update README.md with a greeting,"nice first contribution

maybe something else though, anything useful to mention in the readme?",positive,0.7528167366981506
1766,feat(testing): add e2e test for windows and linux,"
## 🧪 testing bounty created!

a testing bounty has been created for this PR: [view testing issue](https://github.com/mediar-ai/screenpipe/issues/1767)

testers will be awarded $20 each for providing quality test reports. please check the issue for testing requirements.
",positive,0.4988621771335602
1766,feat(testing): add e2e test for windows and linux,@louis030195 is there anything more we need to do in this PR ?,negative,0.4216752350330353
1766,feat(testing): add e2e test for windows and linux,can you explain in plain english what does it test step by step? also if i understand correctly it will record the testing and upload to gh action?,negative,0.4716790020465851
1766,feat(testing): add e2e test for windows and linux,this is rly good overall !,positive,0.9753674864768982
1766,feat(testing): add e2e test for windows and linux,"adding tip if you can make a second, additional, unit test using terminator SDK (only windows) - anyhow

since some users ask for using terminator for desktop app UI testing, curious if it's good / how it compare with existing webdriver solutions",positive,0.7146499752998352
1766,feat(testing): add e2e test for windows and linux,"Hey @louis030195 — yep, you got it!

Here’s a plain-English breakdown of what the E2E test setup actually does:

* Sets up the environment to build a release version.
* Installs `tauri-driver` to automate the app during tests.
* Grabs the right version of Edge WebDriver to drive the app's built-in browser.
* Runs the test suite using WebdriverIO

  * The main test opens the app, skips onboarding, closes the changelogs popup, clicks the health icon, and checks that the app shows ""screenpipe is running smoothly.""

* While the tests run, a script (`record.js`) kicks off ffmpeg to record the desktop.

 * Starts recording at the beginning, stops at the end, and saves the video.

* Uploads the screen recording and test logs as artifacts to GitHub Actions.
* Also uploads the `.screenpipe` folder (which might have logs, DB files, or mp4s the app made during the test).


So yep — your understanding is spot on: the test is recorded, and the video gets uploaded for review!

Let me know if you want to tweak anything in the setup or if something seems off!
",negative,0.563391923904419
1766,feat(testing): add e2e test for windows and linux,"@louis030195 here is the video of our terminator based e2e test setup


https://github.com/user-attachments/assets/2f45023d-03de-4759-b4f3-44650fab1e86

I have kept it seperate and lightwight
as these does not require heavy things like wdio or playwright etc",negative,0.574543833732605
1766,feat(testing): add e2e test for windows and linux,"@louis030195 can you re-run the Window e2e test workflow job
there was a hiccup in Chocolatey installation
![image](https://github.com/user-attachments/assets/580c993a-e47f-4a2c-a196-d9c61ebcb19b)
",positive,0.41883549094200134
1766,feat(testing): add e2e test for windows and linux,"this rly cool

```
|  …  -bor 3072; iex ((New-Object System.Net.WebClient).DownloadString('ht …
     |                ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
     | Exception calling ""DownloadString"" with ""1"" argument(s): ""The remote server returned an error: (499) .""
```

just random server error?",positive,0.4343503415584564
1766,feat(testing): add e2e test for windows and linux,"@louis030195 just added a fix for it
",positive,0.5153335928916931
1766,feat(testing): add e2e test for windows and linux,/approve ,positive,0.7245872616767883
1766,feat(testing): add e2e test for windows and linux,/tip $300 @divanshu-go ,positive,0.5857176780700684
1766,feat(testing): add e2e test for windows and linux,🎉🎈 @divanshu-go has been awarded **$300** by **Screenpi.pe**! 🎈🎊,positive,0.6952385902404785
1766,feat(testing): add e2e test for windows and linux,amazing work ,positive,0.9562884569168091
1764,Fix: Fixed Headphones/airpods configration issue,"
## 🧪 testing bounty created!

a testing bounty has been created for this PR: [view testing issue](https://github.com/mediar-ai/screenpipe/issues/1765)

testers will be awarded $20 each for providing quality test reports. please check the issue for testing requirements.
",positive,0.5039135217666626
1764,Fix: Fixed Headphones/airpods configration issue,/approve ,positive,0.7245872616767883
1764,Fix: Fixed Headphones/airpods configration issue,/tip $100 @Anmol202005 ,positive,0.583437979221344
1764,Fix: Fixed Headphones/airpods configration issue,🎉🎈 @Anmol202005 has been awarded **$100** by **Screenpi.pe**! 🎈🎊,positive,0.6987236738204956
1761,fix: tray icon not changing on failed health check,"
## 🧪 testing bounty created!

a testing bounty has been created for this PR: [view testing issue](https://github.com/mediar-ai/screenpipe/issues/1762)

testers will be awarded $20 each for providing quality test reports. please check the issue for testing requirements.
",positive,0.49673032760620117
1759,Update windows-integration-test.yml to upload .screenpipe folder,"
## 🧪 testing bounty created!

a testing bounty has been created for this PR: [view testing issue](https://github.com/mediar-ai/screenpipe/issues/1760)

testers will be awarded $20 each for providing quality test reports. please check the issue for testing requirements.
",positive,0.4985085129737854
1757,fix: keyboard shortcuts on windows,"
## 🧪 testing bounty created!

a testing bounty has been created for this PR: [view testing issue](https://github.com/mediar-ai/screenpipe/issues/1758)

testers will be awarded $20 each for providing quality test reports. please check the issue for testing requirements.
",positive,0.5034359097480774
1757,fix: keyboard shortcuts on windows,/approve ,positive,0.7245872616767883
1751,feat: add device_name in frame table and search query return,"
## 🧪 testing bounty created!

a testing bounty has been created for this PR: [view testing issue](https://github.com/mediar-ai/screenpipe/issues/1752)

testers will be awarded $20 each for providing quality test reports. please check the issue for testing requirements.
",positive,0.4985330402851105
1748,fix: screenpipe not working due to IPv6 port and wrong design flow,"
## 🧪 testing bounty created!

a testing bounty has been created for this PR: [view testing issue](https://github.com/mediar-ai/screenpipe/issues/1749)

testers will be awarded $20 each for providing quality test reports. please check the issue for testing requirements.
",positive,0.503027081489563
1748,fix: screenpipe not working due to IPv6 port and wrong design flow,"@louis030195 
![image](https://github.com/user-attachments/assets/c13c4532-88b8-4af5-a63c-4f156fd99253)
",positive,0.5858856439590454
1748,fix: screenpipe not working due to IPv6 port and wrong design flow,"Link to the Build (Windows)
https://drive.google.com/file/d/10pB8JfVQZmPVbuPAd1x_H-bkxZdVdQQo/view?usp=sharing",positive,0.5491393804550171
1748,fix: screenpipe not working due to IPv6 port and wrong design flow,"> Link to the Build (Windows)
> https://drive.google.com/file/d/10pB8JfVQZmPVbuPAd1x_H-bkxZdVdQQo/view?usp=sharing

Can I buy you coffee",positive,0.572494626045227
1748,fix: screenpipe not working due to IPv6 port and wrong design flow,"@vasceannie Yes , 
https://buymeacoffee.com/divanshugo",positive,0.7706447839736938
1748,fix: screenpipe not working due to IPv6 port and wrong design flow,"@louis030195 https://github.com/mediar-ai/screenpipe/pull/1748/commits/fcbc4fdcaaa4b8b80c72beada600621048289f6b fixes the wrong design flow which assumed that even first time screenpipe user had completed their onboarding window and had pressed that start recording button
but some users dont complete the onboarding 
therefore we need to fix that",negative,0.6611981987953186
1748,fix: screenpipe not working due to IPv6 port and wrong design flow,"@vasceannie  Here is the New build
https://drive.google.com/file/d/10pB8JfVQZmPVbuPAd1x_H-bkxZdVdQQo/view?usp=sharing",positive,0.6380613446235657
1746,Fix: Add CLI port override and dynamic  fallback to  avoid conflicts on Windows,"
## 🧪 testing bounty created!

a testing bounty has been created for this PR: [view testing issue](https://github.com/mediar-ai/screenpipe/issues/1747)

testers will be awarded $20 each for providing quality test reports. please check the issue for testing requirements.
",positive,0.49923625588417053
1744,fix: CONTRIBUTING.md - windows part,"hey! thanks for the contribution. would you mind adding more details about: - what problem you're trying to solve - why this change is needed - any relevant context or screenshots
this helps us review and merge faster! 🚀
",positive,0.9217491149902344
1744,fix: CONTRIBUTING.md - windows part,"
## 🧪 testing bounty created!

a testing bounty has been created for this PR: [view testing issue](https://github.com/mediar-ai/screenpipe/issues/1745)

testers will be awarded $20 each for providing quality test reports. please check the issue for testing requirements.
",positive,0.49763622879981995
1742,fix: CONTRIBUTING.md 's Windows Part,"
## 🧪 testing bounty created!

a testing bounty has been created for this PR: [view testing issue](https://github.com/mediar-ai/screenpipe/issues/1743)

testers will be awarded $20 each for providing quality test reports. please check the issue for testing requirements.
",positive,0.5033906102180481
1739,Add H1 and Pulse Badge,"
## 🧪 testing bounty created!

a testing bounty has been created for this PR: [view testing issue](https://github.com/mediar-ai/screenpipe/issues/1740)

testers will be awarded $20 each for providing quality test reports. please check the issue for testing requirements.
",positive,0.5008711814880371
1735,Create deploy.yml,"
## 🧪 testing bounty created!

a testing bounty has been created for this PR: [view testing issue](https://github.com/mediar-ai/screenpipe/issues/1736)

testers will be awarded $20 each for providing quality test reports. please check the issue for testing requirements.
",positive,0.5032336115837097
1735,Create deploy.yml,"this is wrong (like 2m light years from what we wanted to do)
",negative,0.8489573001861572
1732,download old versions because of EGL issues on rolling release Linux Distros,"
## 🧪 testing bounty created!

a testing bounty has been created for this PR: [view testing issue](https://github.com/mediar-ai/screenpipe/issues/1733)

testers will be awarded $20 each for providing quality test reports. please check the issue for testing requirements.
",positive,0.4965955913066864
1732,download old versions because of EGL issues on rolling release Linux Distros,"@louis030195 

### Before

![image](https://github.com/user-attachments/assets/9ea9e7bf-6291-4a06-a858-514512202a2e)


### After

![image](https://github.com/user-attachments/assets/6d7a90e6-2fe9-4ef4-b838-5d12e65ec399)

",positive,0.39433619379997253
1732,download old versions because of EGL issues on rolling release Linux Distros,"/tip $200 @divanshu-go 

for the hackathon stuff we discussed on discord ",positive,0.47698330879211426
1732,download old versions because of EGL issues on rolling release Linux Distros,🎉🎈 @divanshu-go has been awarded **$200** by **Screenpi.pe**! 🎈🎊,positive,0.6817046403884888
1729,remove unused Cargo.lock file from screenpipe-server,"
## 🧪 testing bounty created!

a testing bounty has been created for this PR: [view testing issue](https://github.com/mediar-ai/screenpipe/issues/1730)

testers will be awarded $20 each for providing quality test reports. please check the issue for testing requirements.
",positive,0.49543464183807373
1727,refactor: use core-graphics-helmer-fork instead of scap,"
## 🧪 testing bounty created!

a testing bounty has been created for this PR: [view testing issue](https://github.com/mediar-ai/screenpipe/issues/1728)

testers will be awarded $20 each for providing quality test reports. please check the issue for testing requirements.
",positive,0.5015010833740234
1727,refactor: use core-graphics-helmer-fork instead of scap,@louis030195 this reduces a lot of heavy crates on macos,negative,0.5325590968132019
1724,enhance linux package installation process in pre_build.js,"
## 🧪 testing bounty created!

a testing bounty has been created for this PR: [view testing issue](https://github.com/mediar-ai/screenpipe/issues/1725)

testers will be awarded $20 each for providing quality test reports. please check the issue for testing requirements.
",positive,0.49749207496643066
1721,bump tauri to fix path resolution,"
## 🧪 testing bounty created!

a testing bounty has been created for this PR: [view testing issue](https://github.com/mediar-ai/screenpipe/issues/1722)

testers will be awarded $20 each for providing quality test reports. please check the issue for testing requirements.
",positive,0.496957927942276
1721,bump tauri to fix path resolution,thx,positive,0.4340766668319702
1719,document env variables in CLI reference,"
## 🧪 testing bounty created!

a testing bounty has been created for this PR: [view testing issue](https://github.com/mediar-ai/screenpipe/issues/1720)

testers will be awarded $20 each for providing quality test reports. please check the issue for testing requirements.
",positive,0.500914990901947
1719,document env variables in CLI reference,"@Omar8345 as already said by @neo773 
in the following comment https://github.com/mediar-ai/screenpipe/pull/1447#issuecomment-2675243225

This is not the Right Approach !

as it  creates future maintenance burden, instead we should consolidate all the envs in a crate and reference it, then you can run codegen on the env.rs file to generate a markdown file.",negative,0.5809771418571472
1719,document env variables in CLI reference,You can ask @neo773 cause its his Idea,negative,0.42804470658302307
1719,document env variables in CLI reference,@divanshu-go maybe leave your suggestions,positive,0.42377835512161255
1719,document env variables in CLI reference,Feel free to work on this PR,positive,0.830913782119751
1719,document env variables in CLI reference,"> Feel free to work on this PR

@neo773 I made a commit you saw that? Maybe you can leave a comment if its good or need changes

[#ca6001e](https://github.com/mediar-ai/screenpipe/pull/1719/commits/ca6001e77e77ca5573b62faa870ef9c0e786addf)",positive,0.5721508860588074
1719,document env variables in CLI reference,"
![image](https://github.com/user-attachments/assets/68d1c026-6429-41a4-aacb-a8b03b2a018b)

@Omar8345 Please resolve this mistake 

You have changed the permissions of these 2 files from `executable` --> `non-executable`

please remove them from your PR  as soon as possible

```bash
chmod 755 screenpipe-vision/bin/ui_monitor
chmod 755 screenpipe-vision/bin/ui_monitor-aarch64-apple-darwin
```

and then commit them",negative,0.4857082664966583
1719,document env variables in CLI reference,@divanshu-go done,positive,0.635918915271759
1719,document env variables in CLI reference,@Omar8345 Also please Generate the Docs if your code can do that.,positive,0.6286978125572205
1719,document env variables in CLI reference,"> @Omar8345 Also please Generate the Docs if your code can do that.

@divanshu-go just run it like by cd to the folder `screenpipe-cli-envs` and run the code, it'll populate the mdx file if you read the logic",positive,0.4569090008735657
1719,document env variables in CLI reference,"@Omar8345 I'm just asking you to generate the docs and commit them.
",positive,0.4395509362220764
1719,document env variables in CLI reference,"@divanshu-go All good, just one question, `CUSTOM_DEEPGRAM_API_KEY` and `CUSTOM_DEEPGRAM_API_TOKEN` could you explain the use of those environment variables so I can document them or is that not needed because I usually see them used in tests?",positive,0.7777670621871948
1719,document env variables in CLI reference,"@Omar8345 `CUSTOM_DEEPGRAM_API_TOKEN` is used in `screenpipe/screenpipe-audio/src/transcription/deepgram/mod.rs` so you should document it.

while `CUSTOM_DEEPGRAM_API_KEY`  can be dropped as it is used in test only , `screenpipe/screenpipe-audio/tests/realtime_test.rs` so there is no reason to document it.",neutral,0.4393635392189026
1719,document env variables in CLI reference,"@Omar8345 You changed the formatting of `screenpipe-app-tauri/tsconfig.json`
Please fix it.",positive,0.4158194959163666
1719,document env variables in CLI reference,"> @Omar8345 You changed the formatting of `screenpipe-app-tauri/tsconfig.json` Please fix it.

oh god my prettifier thingy lmao",positive,0.6949198246002197
1719,document env variables in CLI reference,"@divanshu-go `CUSTOM_DEEPGRAM_API_TOKEN` this is optional, only required when using Deepgram for live transcription uhm?",positive,0.4077588617801666
1719,document env variables in CLI reference,@Omar8345 yes !,positive,0.6861873865127563
1719,document env variables in CLI reference,"@divanshu-go done :heart: - sorry for the trouble as I'm not used to OSS contributing because I rarely do so & I'm new to screenpipe, love the software tho

also do you have any idea if payouts to PayPal is possible since Algora needs Stripe & I don't have it - please confirm with me before proceeding with bounty",positive,0.4415097236633301
1719,document env variables in CLI reference,@divanshu-go please let me know if there's something more,positive,0.5572502017021179
1719,document env variables in CLI reference,"@divanshu-go Fixed it, I used a comment in MDX (`{/* ENVIRONMENT VARIABLES WILL AUTOMATICALLY POPULATE HERE */}`) which will surround the populated text so it knows where to replace the new text. I tested it and it's good.",positive,0.9075215458869934
1719,document env variables in CLI reference,"@Omar8345 Why are doing this again and again ?
![image](https://github.com/user-attachments/assets/caaf79bf-49c6-4085-8aae-6cdeee304ff2)
",positive,0.4847228527069092
1719,document env variables in CLI reference,"@divanshu-go I believed I fixed it, here again

now its confirmed to be fixed ",positive,0.44226551055908203
1719,document env variables in CLI reference,"@divanshu-go @louis030195 please update
",positive,0.6022673845291138
1719,document env variables in CLI reference,"Hi @Omar8345,
Kindly avoid repeatedly pinging us. @louis030195 will review your PR when he has the time.

Please understand that reviews can't be rushed or forced — we appreciate your patience.
Also, I've already contributed several reviews to this PR.",positive,0.4067942202091217
1719,document env variables in CLI reference,@louis030195 Please update.,positive,0.42449912428855896
1719,document env variables in CLI reference,can I have some estimate please,positive,0.5191938281059265
1719,document env variables in CLI reference,"@divanshu-go @louis030195 this Pull Request has been waiting for almost a month! please do something

cc @neo773 ",positive,0.567209780216217
1719,document env variables in CLI reference,"@Omar8345 I understand the wait can be frustrating, and we appreciate your enthusiasm. Just to clarify, the merge decision is with @louis030195 since he's the maintainer. Unfortunately, we can't speed that up on our end. Thanks again for your patience and contribution.

",positive,0.5617832541465759
1719,document env variables in CLI reference,this is very bloated and beyond the scope of the issue ,negative,0.8170017004013062
